,key,rating,valid_from,valid_to,ranking,deviation,volatility
2516,Roman Reigns,"(1500.0, 350.0, 0.06)",2017-05-11,2023-06-07,1500.0,350.0,0.06
2517,Roman Reigns,"(1297.342518884534, 283.21677942802745, 0.06000084270678003)",2023-06-07,,1297.342518884534,283.21677942802745,0.06000084270678003
2518,Fat,"(1500.0, 350.0, 0.06)",2017-05-11,2022-05-26,1500.0,350.0,0.06
2519,Fat,"(1294.5288492071813, 282.58440709471165, 0.06000091657563288)",2022-05-26,2022-05-26,1294.5288492071813,282.58440709471165,0.06000091657563288
2520,Fat,"(1509.9985639553465, 250.6476300161063, 0.06000336227893626)",2022-05-26,2022-05-26,1509.9985639553465,250.6476300161063,0.06000336227893626
2521,Fat,"(1573.4011943485175, 221.92721067399702, 0.060002239447500536)",2022-05-26,2022-05-26,1573.4011943485175,221.92721067399702,0.060002239447500536
2522,Fat,"(1482.2730487455733, 195.7811021898719, 0.060002100039593505)",2022-05-26,2022-05-26,1482.2730487455733,195.7811021898719,0.060002100039593505
2523,Fat,"(1528.622882186767, 181.82821495942807, 0.06000117704756909)",2022-05-26,2022-10-21,1528.622882186767,181.82821495942807,0.06000117704756909
2524,Fat,"(1448.5081017906657, 164.07636344335617, 0.06000190620719564)",2022-10-21,2022-11-05,1448.5081017906657,164.07636344335617,0.06000190620719564
2525,Fat,"(1389.4327467848725, 154.70911210272934, 0.060002400493682044)",2022-11-05,2022-11-05,1389.4327467848725,154.70911210272934,0.060002400493682044
2526,Fat,"(1424.137695297669, 147.71348844835714, 0.060001689731691975)",2022-11-05,2023-02-24,1424.137695297669,147.71348844835714,0.060001689731691975
2527,Fat,"(1415.0007430578776, 144.88692688257882, 0.06000094667951095)",2023-02-24,,1415.0007430578776,144.88692688257882,0.06000094667951095
2528,Cheerito,"(1500.0, 350.0, 0.06)",2017-05-11,2020-04-21,1500.0,350.0,0.06
2529,Cheerito,"(1662.3108949761174, 290.3189646747521, 0.06)",2020-04-21,2020-04-21,1662.3108949761174,290.3189646747521,0.06
2530,Cheerito,"(1782.3741541537927, 240.98856989709927, 0.05999941948953851)",2020-04-21,2020-04-21,1782.3741541537927,240.98856989709927,0.05999941948953851
2531,Cheerito,"(1830.9579085462915, 223.69899577971356, 0.059998744742030305)",2020-04-21,2020-04-21,1830.9579085462915,223.69899577971356,0.059998744742030305
2532,Cheerito,"(1697.0147034395613, 210.94573029443126, 0.06000019835746574)",2020-04-21,,1697.0147034395613,210.94573029443126,0.06000019835746574
2533,Toby,"(1500.0, 350.0, 0.06)",2017-05-11,2017-10-14,1500.0,350.0,0.06
2534,Toby,"(1731.8849049446371, 286.9272134993429, 0.060001607292112416)",2017-10-14,2017-10-14,1731.8849049446371,286.9272134993429,0.060001607292112416
2535,Toby,"(1805.5450869755782, 256.5970756501023, 0.060000913755112996)",2017-10-14,2023-03-05,1805.5450869755782,256.5970756501023,0.060000913755112996
2536,Toby,"(1960.068263267473, 218.02735407770572, 0.060001163037503386)",2023-03-05,2023-03-05,1960.068263267473,218.02735407770572,0.060001163037503386
2537,Toby,"(1742.4243670593287, 213.3788436264766, 0.060007232298286195)",2023-03-05,,1742.4243670593287,213.3788436264766,0.060007232298286195
2538,Lego Sam,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-20,1500.0,350.0,0.06
2539,Lego Sam,"(1383.3580797572, 286.9272066273942, 0.05999919203103654)",2019-04-20,2019-04-20,1383.3580797572,286.9272066273942,0.05999919203103654
2540,Lego Sam,"(1533.5145847979145, 252.71457882564783, 0.05999987077949246)",2019-04-20,2019-06-23,1533.5145847979145,252.71457882564783,0.05999987077949246
