,key,rating,valid_from,valid_to,ranking,deviation,volatility
1728,Ayumi,"(2066.1149728473083, 102.29493672403767, 0.05999382778456579)",2023-02-24,2023-02-24,2066.1149728473083,102.29493672403767,0.05999382778456579
1729,Ayumi,"(2067.2160794056103, 102.57535258078663, 0.059993667915257204)",2023-02-24,2023-02-24,2067.2160794056103,102.57535258078663,0.059993667915257204
1730,Ayumi,"(2071.650642858709, 101.9278004207081, 0.059993171398916426)",2023-02-24,2023-02-24,2071.650642858709,101.9278004207081,0.059993171398916426
1731,Ayumi,"(2073.918151048379, 101.91295711116945, 0.059992869872014305)",2023-02-24,,2073.918151048379,101.91295711116945,0.059992869872014305
1732,Emélia,"(1500.0, 350.0, 0.06)",2017-05-11,2017-05-11,1500.0,350.0,0.06
1733,Emélia,"(1616.6419202428, 286.9272066273942, 0.05999919203103654)",2017-05-11,2017-05-11,1616.6419202428,286.9272066273942,0.05999919203103654
1734,Emélia,"(1501.2051456272472, 245.66596370798567, 0.05999881176469043)",2017-05-11,2017-05-11,1501.2051456272472,245.66596370798567,0.05999881176469043
1735,Emélia,"(1431.5325282912208, 216.80778645027002, 0.05999777822466198)",2017-05-11,,1431.5325282912208,216.80778645027002,0.05999777822466198
1736,Fairytale,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
1737,Fairytale,"(1699.756587321679, 255.38302500964326, 0.06000089430719239)",2022-10-21,2022-10-21,1699.756587321679,255.38302500964326,0.06000089430719239
1738,Fairytale,"(1584.8724806924706, 218.43026764948684, 0.060000587437387586)",2022-10-21,2022-11-05,1584.8724806924706,218.43026764948684,0.060000587437387586
1739,Fairytale,"(1606.3099026748152, 207.85806459892595, 0.05999978906493347)",2022-11-05,2022-11-05,1606.3099026748152,207.85806459892595,0.05999978906493347
1740,Fairytale,"(1526.3474714068352, 181.56606008927787, 0.0599991070658769)",2022-11-05,2022-11-05,1526.3474714068352,181.56606008927787,0.0599991070658769
1741,Fairytale,"(1452.1334559528746, 162.89196666918627, 0.059999237912540186)",2022-11-05,2022-11-05,1452.1334559528746,162.89196666918627,0.059999237912540186
1742,Fairytale,"(1414.5727088840274, 151.14894458217088, 0.05999780343434022)",2022-11-05,,1414.5727088840274,151.14894458217088,0.05999780343434022
1743,Uzelok,"(1500.0, 350.0, 0.06)",2017-05-11,2017-05-11,1500.0,350.0,0.06
1744,Uzelok,"(1668.9381929451254, 275.86130044209125, 0.06)",2017-05-11,2017-05-11,1668.9381929451254,275.86130044209125,0.06
1745,Uzelok,"(1713.4783338197449, 252.24570208676525, 0.0599991891464499)",2017-05-11,2017-05-11,1713.4783338197449,252.24570208676525,0.0599991891464499
1746,Uzelok,"(1829.1973771073565, 215.56821155715664, 0.059998889044636954)",2017-05-11,2017-05-11,1829.1973771073565,215.56821155715664,0.059998889044636954
1747,Uzelok,"(1754.926745113973, 194.45687264464908, 0.059998235324585196)",2017-05-11,2018-05-20,1754.926745113973,194.45687264464908,0.059998235324585196
1748,Uzelok,"(1650.5788570717932, 184.66690554835455, 0.05999990916701269)",2018-05-20,2018-05-20,1650.5788570717932,184.66690554835455,0.05999990916701269
