,key,rating,valid_from,valid_to
1358,Tunde,1490.5657329376443,2021-06-26,2021-06-26
1359,Tunde,1501.386467971435,2021-06-26,2021-06-26
1360,Tunde,1511.6343345719974,2021-06-26,
1361,Saman,1500.0,2017-05-11,2022-05-26
1362,Saman,1491.3900584313772,2022-05-26,
1363,Jackson,1500.0,2017-05-11,2019-04-13
1364,Jackson,1510.28774368332,2019-04-13,2019-04-13
1365,Jackson,1520.2794617562658,2019-04-13,2019-04-13
1366,Jackson,1529.6964338900518,2019-04-13,2019-04-13
1367,Jackson,1518.8437772137777,2019-04-13,
1368,Dedo,1500.0,2017-05-11,2023-06-07
1369,Dedo,1490.0,2023-06-07,
1370,Jeffro,1500.0,2017-05-11,2022-05-26
1371,Jeffro,1511.877516744388,2022-05-26,2022-05-26
1372,Jeffro,1521.5357874477886,2022-05-26,2022-05-26
1373,Jeffro,1531.4823899838893,2022-05-26,2022-05-26
1374,Jeffro,1541.096972733527,2022-05-26,2022-05-26
1375,Jeffro,1549.9362018751217,2022-05-26,2022-05-26
1376,Jeffro,1558.508738320881,2022-05-26,2022-05-26
1377,Jeffro,1566.840462014387,2022-05-26,2022-05-26
1378,Jeffro,1574.656095058722,2022-05-26,2022-05-26
1379,Jeffro,1582.8373400827295,2022-05-26,2022-05-26
1380,Jeffro,1590.8674257860043,2022-05-26,2022-07-10
1381,Jeffro,1598.0533871125313,2022-07-10,2022-07-10
1382,Jeffro,1607.5381869734865,2022-07-10,2022-07-10
1383,Jeffro,1615.2444236619165,2022-07-10,2022-07-10
1384,Jeffro,1605.4590856142252,2022-07-10,2022-07-10
1385,Jeffro,1596.2355040683376,2022-07-10,2022-07-10
1386,Jeffro,1605.2594429254711,2022-07-10,2022-10-21
1387,Jeffro,1612.358222465652,2022-10-21,2022-10-21
1388,Jeffro,1621.8540344812975,2022-10-21,2022-10-21
1389,Jeffro,1610.1661496412094,2022-10-21,2022-10-21
1390,Jeffro,1617.6673463557695,2022-10-21,2022-10-21
1391,Jeffro,1607.0986510203209,2022-10-21,2022-10-21
1392,Jeffro,1614.173685376293,2022-10-21,2022-10-21
1393,Jeffro,1622.2615018446024,2022-10-21,2023-02-24
1394,Jeffro,1611.3731556564053,2023-02-24,2023-02-24
1395,Jeffro,1621.587383068134,2023-02-24,2023-02-24
1396,Jeffro,1629.5861700050305,2023-02-24,2023-02-24
1397,Jeffro,1638.3546615177347,2023-02-24,2023-02-24
1398,Jeffro,1628.92970709835,2023-02-24,2023-02-24
1399,Jeffro,1634.791800058208,2023-02-24,2023-02-24
1400,Jeffro,1640.9495372704432,2023-02-24,
1401,Ra1on,1500.0,2017-05-11,2022-10-21
1402,Ra1on,1489.6916550592716,2022-10-21,2022-10-21
1403,Ra1on,1500.290887854792,2022-10-21,2022-10-21
1404,Ra1on,1510.282515431271,2022-10-21,2022-10-21
1405,Ra1on,1505.21059845828,2022-10-21,2022-10-21
1406,Ra1on,1515.108699762893,2022-10-21,2022-10-21
1407,Ra1on,1509.6665853488873,2022-10-21,2023-06-25
1408,Ra1on,1499.3884304269543,2023-06-25,2023-06-25
1409,Ra1on,1509.4060327960522,2023-06-25,
1410,SAUS,1500.0,2017-05-11,2023-06-16
1411,SAUS,1490.5830415300823,2023-06-16,
1412,Dudut,1500.0,2017-05-11,2019-04-24
1413,Dudut,1490.0,2019-04-24,
1414,Bullet,1500.0,2017-05-11,2017-05-11
1415,Bullet,1490.0,2017-05-11,2017-05-11
1416,Bullet,1480.28774368332,2017-05-11,2017-05-11
1417,Bullet,1490.85450002419,2017-05-11,
1418,Marlone,1500.0,2017-05-11,2021-12-04
1419,Marlone,1490.0,2021-12-04,2021-12-04
1420,Marlone,1500.28774368332,2021-12-04,2021-12-04
1421,Marlone,1489.987022598226,2021-12-04,2022-10-21
1422,Marlone,1479.3569013337883,2022-10-21,2022-10-21
1423,Marlone,1489.9503592940923,2022-10-21,2022-10-21
1424,Marlone,1500.2395305629273,2022-10-21,2022-11-12
1425,Marlone,1495.306297116446,2022-11-12,2023-07-05
1426,Marlone,1485.441384526988,2023-07-05,2023-07-05
1427,Marlone,1495.8601700821666,2023-07-05,2023-07-05
1428,Marlone,1505.9793183266747,2023-07-05,
1429,Daga,1500.0,2017-05-11,2022-11-11
1430,Daga,1490.0782991154035,2022-11-11,
1431,A-Xue,1500.0,2017-05-11,2017-12-02
1432,A-Xue,1510.0,2017-12-02,2017-12-02
1433,A-Xue,1499.71225631668,2017-12-02,2017-12-02
1434,A-Xue,1489.7205382437342,2017-12-02,
1435,Marvin,1500.0,2017-05-11,2017-06-10
1436,Marvin,1489.71225631668,2017-06-10,2017-06-10
1437,Marvin,1479.7212386010535,2017-06-10,2017-06-10
1438,Marvin,1470.2962356193264,2017-06-10,2017-12-17
1439,Marvin,1460.600051935026,2017-12-17,2017-12-17
1440,Marvin,1452.0116759322636,2017-12-17,2017-12-17
1441,Marvin,1443.626438954319,2017-12-17,
1442,Rule,1500.0,2017-05-11,2023-06-24
1443,Rule,1510.0,2023-06-24,2023-06-24
1444,Rule,1499.9928668594043,2023-06-24,
1445,Eros,1500.0,2017-05-11,2023-06-07
1446,Eros,1489.3777085102518,2023-06-07,
1447,Onel,1500.0,2017-05-11,2022-11-11
1448,Onel,1489.7159441249848,2022-11-11,2023-04-06
1449,Onel,1480.038130460671,2023-04-06,
1450,Iverson,1500.0,2017-05-11,2023-06-16
1451,Iverson,1490.0,2023-06-16,
1452,Markino,1500.0,2017-05-11,2023-06-07
1453,Markino,1510.0,2023-06-07,2023-06-07
1454,Markino,1499.4250022018107,2023-06-07,
1455,Popster,1500.0,2017-05-11,2023-02-24
1456,Popster,1490.3580814311078,2023-02-24,
1457,Neo,1500.0,2017-05-11,2023-04-06
1458,Neo,1490.2816616733219,2023-04-06,
