,key,rating,valid_from,valid_to,ranking,deviation,volatility
667,Susko,"(1298.0978977676496, 282.19905686759176, 0.06000082405916907)",2018-03-17,,1298.0978977676496,282.19905686759176,0.06000082405916907
668,Ryan,"(1500.0, 350.0, 0.06)",2017-05-11,2017-12-09,1500.0,350.0,0.06
669,Ryan,"(1268.1150950553629, 286.9272134993429, 0.060001607292112416)",2017-12-09,,1268.1150950553629,286.9272134993429,0.060001607292112416
670,MD,"(1500.0, 350.0, 0.06)",2017-05-11,2023-11-25,1500.0,350.0,0.06
671,MD,"(1662.3108949761174, 290.3189646747521, 0.06)",2023-11-25,2023-11-25,1662.3108949761174,290.3189646747521,0.06
672,MD,"(1456.3899643967773, 255.00262309498774, 0.06000210402587695)",2023-11-25,,1456.3899643967773,255.00262309498774,0.06000210402587695
673,Thomaz,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-12,1500.0,350.0,0.06
674,Thomaz,"(1670.8721762160078, 275.86130044209125, 0.06)",2019-04-12,2019-04-12,1670.8721762160078,275.86130044209125,0.06
675,Thomaz,"(1788.9543354520074, 238.3589847600985, 0.059999762086750404)",2019-04-12,2019-04-12,1788.9543354520074,238.3589847600985,0.059999762086750404
676,Thomaz,"(1919.6254871278315, 209.34719027049056, 0.0600000248664666)",2019-04-12,2019-04-12,1919.6254871278315,209.34719027049056,0.0600000248664666
677,Thomaz,"(1817.9919717696202, 190.92712212374607, 0.05999993384467528)",2019-04-12,,1817.9919717696202,190.92712212374607,0.05999993384467528
678,Marson,"(1500.0, 350.0, 0.06)",2017-05-11,2018-01-06,1500.0,350.0,0.06
679,Marson,"(1662.3108949761174, 290.3189646747521, 0.06)",2018-01-06,2018-01-06,1662.3108949761174,290.3189646747521,0.06
680,Marson,"(1750.5421120164501, 256.3451719903071, 0.059999359152729005)",2018-01-06,2018-01-06,1750.5421120164501,256.3451719903071,0.059999359152729005
681,Marson,"(1872.6359256247952, 222.10337021487132, 0.05999922450867365)",2018-01-06,,1872.6359256247952,222.10337021487132,0.05999922450867365
682,Beggin Bin,"(1500.0, 350.0, 0.06)",2017-05-11,2017-12-09,1500.0,350.0,0.06
683,Beggin Bin,"(1295.271556455816, 283.66737823810234, 0.06000089540582453)",2017-12-09,,1295.271556455816,283.66737823810234,0.06000089540582453
684,Kalouna,"(1500.0, 350.0, 0.06)",2017-05-11,2023-06-24,1500.0,350.0,0.06
685,Kalouna,"(1419.6681913761772, 300.1505025513825, 0.05999912476087603)",2023-06-24,,1419.6681913761772,300.1505025513825,0.05999912476087603
686,Super D,"(1500.0, 350.0, 0.06)",2017-05-11,2019-11-09,1500.0,350.0,0.06
687,Super D,"(1383.3580797572, 286.9272066273942, 0.05999919203103654)",2019-11-09,,1383.3580797572,286.9272066273942,0.05999919203103654
688,Rock Lee,"(1500.0, 350.0, 0.06)",2017-05-11,2018-04-07,1500.0,350.0,0.06
689,Rock Lee,"(1268.1150950553629, 286.9272134993429, 0.060001607292112416)",2018-04-07,2019-04-12,1268.1150950553629,286.9272134993429,0.060001607292112416
690,Rock Lee,"(1211.0926784800456, 251.66528837621462, 0.0600005926819689)",2019-04-12,,1211.0926784800456,251.66528837621462,0.0600005926819689
691,Peaky Rock,"(1500.0, 350.0, 0.06)",2017-05-11,2020-05-08,1500.0,350.0,0.06
692,Peaky Rock,"(1341.8033963333723, 274.7017151559289, 0.05999971360585944)",2020-05-08,2020-05-08,1341.8033963333723,274.7017151559289,0.05999971360585944
693,Peaky Rock,"(1550.249682538618, 248.82828578045502, 0.060002615108171835)",2020-05-08,2020-05-08,1550.249682538618,248.82828578045502,0.060002615108171835
694,Peaky Rock,"(1638.1414556436075, 224.75202271500737, 0.06000234252137137)",2020-05-08,,1638.1414556436075,224.75202271500737,0.06000234252137137
695,Milo,"(1500.0, 350.0, 0.06)",2017-05-11,2018-04-07,1500.0,350.0,0.06
696,Milo,"(1662.3108949761174, 290.3189646747521, 0.06)",2018-04-07,2018-04-07,1662.3108949761174,290.3189646747521,0.06
697,Milo,"(1752.6758408124297, 248.06963265307022, 0.059999098924278224)",2018-04-07,2018-04-07,1752.6758408124297,248.06963265307022,0.059999098924278224
698,Milo,"(1836.2470074254866, 220.63810311608245, 0.05999845691643552)",2018-04-07,2018-04-07,1836.2470074254866,220.63810311608245,0.05999845691643552
699,Milo,"(1759.323416801691, 197.62395911978027, 0.05999777275379226)",2018-04-07,,1759.323416801691,197.62395911978027,0.05999777275379226
700,Miracle Smile,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-12,1500.0,350.0,0.06
701,Miracle Smile,"(1232.3308204968534, 291.8476606052193, 0.06000256479713498)",2019-04-12,,1232.3308204968534,291.8476606052193,0.06000256479713498
702,David,"(1500.0, 350.0, 0.06)",2017-05-11,2017-09-23,1500.0,350.0,0.06
703,David,"(1337.6891050238826, 290.3189646747521, 0.06)",2017-09-23,,1337.6891050238826,290.3189646747521,0.06
704,Sevõne,"(1500.0, 350.0, 0.06)",2017-05-11,2018-03-17,1500.0,350.0,0.06
705,Sevõne,"(1374.4713432315568, 275.44472234453855, 0.05999906821055688)",2018-03-17,2018-03-17,1374.4713432315568,275.44472234453855,0.05999906821055688
706,Sevõne,"(1574.7035320576285, 247.5516838133885, 0.06000178947626892)",2018-03-17,2018-03-17,1574.7035320576285,247.5516838133885,0.06000178947626892
707,Sevõne,"(1657.5567920858527, 224.04450801207716, 0.06000140488111497)",2018-03-17,2019-03-23,1657.5567920858527,224.04450801207716,0.06000140488111497
708,Sevõne,"(1587.477218316322, 200.05193752110364, 0.060000541792799955)",2019-03-23,,1587.477218316322,200.05193752110364,0.060000541792799955
709,Midge,"(1500.0, 350.0, 0.06)",2017-05-11,2018-12-15,1500.0,350.0,0.06
710,Midge,"(1337.6891050238826, 290.3189646747521, 0.06)",2018-12-15,2018-12-15,1337.6891050238826,290.3189646747521,0.06
711,Midge,"(1502.5491518243232, 256.3451785990187, 0.06000090234843961)",2018-12-15,,1502.5491518243232,256.3451785990187,0.06000090234843961
712,Ali-Gator,"(1500.0, 350.0, 0.06)",2017-05-11,2018-09-01,1500.0,350.0,0.06
713,Ali-Gator,"(1337.6891050238826, 290.3189646747521, 0.06)",2018-09-01,,1337.6891050238826,290.3189646747521,0.06
